Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
ARTECOR GRAFICA E EDITORA LTDA;38.013.991/0001-10;30/08/2010;       Publicidade por materiais impressos;R$ 480,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
ARTECOR GRAFICA E EDITORA LTDA;38.013.991/0001-10;28/08/2010;       Publicidade por materiais impressos;R$ 480,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
DIMENSAO LETREIROS E PLACAS ME;38.068.847/0001-80;28/08/2010;       Publicidade por materiais impressos;R$ 557,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
GRAFICA E EDITORA COLORPRINT;00.827.521/0001-17;02/09/2010;       Publicidade por materiais impressos;R$ 3.733,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
GRAFIX GRAFICA E EDITORA LTDA EPP;08.782.777/0001-67;15/07/2010;       Publicidade por materiais impressos;R$ 3.450,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
JM CAPITAL GRAFICA E FOTOLITO LTDA ME;10.813.208/0001-83;29/07/2010;       Publicidade por materiais impressos;R$ 750,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
NUCLEO DE INFORMAÇAO E COORDENAÇAO DO PONTO BR - NIC.BR;05.506.560/0001-36;16/07/2010;       Criação e inclusão de páginas na internet;R$ 30,00;Transferência eletrônica; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
PILOTO COMERCIO DE SINALIZAÇAO LTDA;08.406.152/0001-09;17/07/2010;       Materiais de expediente;R$ 33,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
PLANETMUSIC;06.337.556/0001-54;21/09/2010;       Bens permanentes;R$ 250,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
PLANETMUSIC;06.337.556/0001-54;24/09/2010;       Bens permanentes;R$ 230,00;Cheque; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
RAVE HOST INTERNET;07.703.032/0001-00;16/07/2010;       Criação e inclusão de páginas na internet;R$ 29,85;Transferência eletrônica; -  -  / 50500 - RAFAEL MADEIRA DA VEIGA - DF - Deputado Distrital;
