Fornecedor;CPF/CNPJ;Data;Tipo Despesa;Valor R$;Forma de Pagamento;Beneficiário/contratante;
ACQUA GRAFICA;00.681.858/0001-69;06/08/2010;       Publicidade por placas, estandartes e faixas;R$ 3.000,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
ACQUA GRAFICA;00.681.858/0001-69;06/09/2010;       Publicidade por materiais impressos;R$ 2.000,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
ACQUA GRAFICA;00.681.858/0001-69;12/09/2010;       Publicidade por materiais impressos;R$ 3.100,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
DIÁRIOS ASSOCIADOS S/A CORREIO BRAZILIENSE;00.001.172/0001-80;29/09/2010;       Publicidade por jornais e revistas;R$ 4.703,40;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
PRO ART'S CUMUNICACAO VISUAL POLIANA LIMA NICODEMOS-ME;10.636.310/0001-50;27/08/2010;       Publicidade por placas, estandartes e faixas;R$ 1.300,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
PRO ART'S CUMUNICACAO VISUAL POLIANA LIMA NICODEMOS-ME;10.636.310/0001-50;23/09/2010;       Publicidade por placas, estandartes e faixas;R$ 400,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
PRO ART'S CUMUNICACAO VISUAL POLIANA LIMA NICODEMOS-ME;10.636.310/0001-50;01/10/2010;       Publicidade por placas, estandartes e faixas;R$ 700,00;Cheque; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 11,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,02;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;05/10/2010;       Encargos financeiros e taxas bancárias;R$ 20,00;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;11/10/2010;       Encargos financeiros e taxas bancárias;R$ 36,24;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 2,36;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;25/10/2010;       Encargos financeiros e taxas bancárias;R$ 1,60;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;27/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,05;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;11/10/2010;       Encargos financeiros e taxas bancárias;R$ 11,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 35,00;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;01/10/2010;       Encargos financeiros e taxas bancárias;R$ 2,26;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;30/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;26/10/2010;       Encargos financeiros e taxas bancárias;R$ 0,16;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;02/09/2010;       Encargos financeiros e taxas bancárias;R$ 3,50;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;05/08/2010;       Encargos financeiros e taxas bancárias;R$ 14,00;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
;;15/10/2010;       Encargos financeiros e taxas bancárias;R$ 49,08;Débito em conta; -  -  / 43456 - MANOEL CARVALHO DA MATTA MACHADO - DF - Deputado Distrital;
